recno,igsn,description_material,OneorTwo,text
728395,1000001,mat:sediment,isamMat1,1 | VM29-164PC-500-503cm | Core Piece | collection: Coring>PistonCorer. Discreet sample from a Piston core | 5 | cc | Stratigraphic investigation to determine if region is suitable for coring cruise to reconstruct d18O gradients. | depth 500-503 cm | Stratigraphic investigation
452990,321000030,mat:rock,isamMat1,"321 | D75-PC43 22-23cm A | Individual Sample | glass grain | submarine volcano | Axial Seamount summit caldera | Glass | MBARI Ridges 2009 | platform: Ship, R/V Western Flyer | launch: Doc Ricketts, 2 | D75 | Electron Microprobe analysis"
452991,321000031,mat:rock,isamMat1,"321 | D75-PC43 22-23cm B | Individual Sample | glass grain | submarine volcano | Axial Seamount summit caldera | Glass | MBARI Ridges 2009 | platform: Ship, R/V Western Flyer | launch: Doc Ricketts, 2 | D75 | Electron Microprobe analysis"
80132,555000074,mat:rock,isamMat1,555 | 2704-02 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Spreading_Center | East Pacific Rise | Basalt glass | A131-09
453799,555000075,mat:rock,isamMat1,555 | 2705-01 | Rock>Igneous>Volcanic>Mafic | Basalt glass | Individual Sample | Spreading_Center | East Pacific Rise | A131-09
453800,555000076,mat:rock,isamMat1,555 | 2705-03 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Spreading_Center | East Pacific Rise | Basalt glass | A131-09
404726,555000082,mat:rock,isamMat1,555 | 2772-3 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Spreading_Center | East Pacific Rise | Basalt glass | A131-12
279332,555000083,mat:rock,isamMat1,"555 | 3963-10 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Spreading_Center | East Pacific Rise | Basalt glass | platform: Submersible / HOV, ALVIN"
453829,555000084,mat:rock,isamMat1,"555 | A125-38-D2A | Dredge | Rock>Igneous>Volcanic>Mafic | Ridge | East Pacific Rise | Basalt | A125-38 | platform: Ship, R/V Atlantis II | launch: Not Applicable, 6 | Not Applicable"
453101,32100006K,mat:rock,isamMat1,"321 | D75-PC58 19-21cm H | Glass | Individual Sample | glass grain | submarine volcano | Axial Seamount summit caldera | MBARI Ridges 2009 | platform: Ship, R/V Western Flyer | launch: Doc Ricketts, 2 | D75 | Electron Microprobe analysis"
453102,32100006L,mat:rock,isamMat1,"321 | D75-PC58 0-1 cm J | Individual Sample | glass grain | submarine volcano | Axial Seamount summit caldera | Glass | MBARI Ridges 2009 | platform: Ship, R/V Western Flyer | launch: Doc Ricketts, 2 | D75 | Electron Microprobe analysis"
453303,3210000BV,mat:rock,isamMat1,"321 | D741-R5 | Individual Sample | Rock>Igneous>Volcanic | ridge | Alarcon Rise | Gulf of California | andesite | Gulf of California 2015 | launch: Doc Ricketts, 2"
453304,3210000BW,mat:rock,isamMat1,"321 | D741-R6 | Individual Sample | Rock>Igneous>Volcanic | ridge | Alarcon Rise | Gulf of California | andesite | Gulf of California 2015 | launch: Doc Ricketts, 2"
453599,43500000X,mat:rock,isamMat1,435 | Bighole # 2 Box 5 | Rock>Sedimentary | Limestone | Core | 2.5 | Inches | Limestone with small sand bodies | geologicage: Jurassic Carmel Formation | San Rafael Swell | Bighole Fault
453600,43500000Y,mat:rock,isamMat1,"435 | Bighole # 2 Box 6 | Rock>Sedimentary | Limestone | Core | 2.5 | Inches | Limestone, some fractures | geologicage: Jurassic Carmel Formation | San Rafael Swell | Bighole Fault"
453886,55500009N,mat:rock,isamMat1,"555 | 2356-2 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Ridge | East Pacific Rise | Basalt | A125-24 | platform: Ship, R/V Atlantis II | launch: Alvin, 3 | 2356"
453887,55500009O,mat:rock,isamMat1,"555 | 2356-4 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Ridge | East Pacific Rise | Basalt | A125-24 | platform: Ship, R/V Atlantis II | launch: Alvin, 3 | 2356"
453889,55500009P,mat:rock,isamMat1,"555 | 2356-6 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Ridge | East Pacific Rise | Basalt | A125-24 | platform: Ship, R/V Atlantis II | launch: Alvin, 3 | 2356"
