,igsn,traintext,iSampleMaterial
2238,WDC0000NE,WDC | WCC8-15 | Other | .8MG/L AT 1M_ .9MG/L AT 10M DEPTH_ .8MG/L AT 20M. | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000185 | WCC8 | platform: Ship_ Ferrel,9
7685,NEON076IA,"NEO | [ 988546 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Aqueous whole genomic DNA from 10-50 homogenized conspecific female mosquitoes collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights. Used for pathogen testing and archived at -80 degrees C. | Culex erraticus Dyar & Knab, 1906",7
18898,IERVTL181,IERVT | 379 | | SLAC-SFA | 2019 inundation tracer tests,2
6664,NEON05PWX,NEO | [ 903068 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Plant foliar subsample for archive,7
2687,WDC0000JE,WDC | WCC11-16 | Other | 1.8MG/L AT 1M_ 1.5MG/L AT 10M DEPTH. | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000041 | WCC11 | platform: Ship_ Ferrel,9
19363,NHB001Z6Z,NMNH B7073-00 (MIN) | | Mineral>Hematite | Hematite,5
15685,IEDAI04LF,IEDAI | TSCH2/27 M | | depth 483-492 CMBS | Paleoenvironmental reconstruction,11
16469,NHB002HTE,NMNH C7247-00 (MIN) | | Mineral>Petalite | Mine | Paprok mine  |  Petalite,5
16119,IEDAI04N8,IEDAI | TSCH1/24 | | depth 580-586 CMBS | Paleoenvironmental reconstruction,11
4046,NEON01Y6R,NEO | DELA_038-M-35-28-20190513-GA2 [ 326025 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 2 for microbial sequencing analyses,13
12189,PRR011594,PRR-11594 | | Rock>Sedimentary | plant fossils in siltstone | Mt. Schopf | Mercer Ridge | Siltstone,10
13732,NHB001SGG,NHB | NMNH 171547-00 (MIN) | | Mineral>Mackayite | Mine | Monument #2 Mine  |  Mackayite,5
6641,NHB0017PC,NMNH 144658-00 (MIN) | | Mineral>Leucophoenicite | Mining District | Franklin Mining District  |  Franklin | Leucophoenicite with copper and franklinite,5
15403,ODP01M3TV,"ODP | Section 183-1138A-35R-1 | Core Section | ODP Leg 183 | platform: Ship, Joides Resolution",11
10549,ARF0009I3,ARF | ELT24-016 PC _Archive | Core Half Round | 1169 | cm | South Pacific | ELT24 | platform: Ship_ USNS Eltanin,12
12572,NHB003VCP,NHB | NMNH 36547 (PET) | Rock>Igneous | Basanite with leucite | | Volcano | Vesuvius  |  Vesuvio,10
2559,NEON00UFV,NEO | NIWO_008.W.20150728.CARTAE.01 [ 241356 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected from a beetle trap | Carabus taedatus Fabricius_ 1787,7
11345,ODP02NLGY,"ODP | Sample 175-1084A-16H-4 (117-119 cm.) | Individual Sample | Janus sample_id: 88888 | ODP Leg 175 | platform: Ship, Joides Resolution",11
8507,IEBEG0OJJ,IEBEG | R22111 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-3510 Ft. | Oil or gas exploration,6
10821,ODP02MUHU,"ODP | Sample 174-1073A-41X-5 (92-94 cm.) | Individual Sample | Janus sample_id: 66201 | ODP Leg 174 | platform: Ship, Joides Resolution",11
16067,HRV002E61,HRV | 124328 | | Mineral>Astrophyllite | Mineral Group: Astrophyllite;     ,5
14867,ODP0231RF,"ODP | Sample 130-806B-47X-1 (89-91 cm.) | Individual Sample | Janus sample_id: 629613 | ODP Leg 130 | platform: Ship, Joides Resolution",11
16439,NHB000IWQ,NMNH 112949-00 (MIN) | | Mineral>Opal  |  Casper Mtn | Opal (var. hyalite),5
