number,igsn,traintext,iSampleMaterial
9,IEUHM00R8,IEUHM | Midway SI-11.0-63.4 | Rock>Sedimentary>Carbonate | Unlithified carbonate sediment | Core Section | collection: CorerCoring>DrillCorer. truck-mounted drill rig_ conventional rock bit_ diamond core barrel | 3 | in | Unlithified carbonate sediment consisting of coral-algal fragments and soft calcareous mud (98 ft). Coral fragments abundant; massive coral at 78-83 and 195-206 ft. Coarse foraminiferal sand (125-150 ft)_ partly lithified_ contains abundant coral and algal fragments. Possible solution unconformities at 98 and 150 ft. Probable solution unconformity at 208 ft | Abundant small shallow-water marine gastropods_ including Alcyna_ Synaptocochelea_ Leptothyra_ Tricolia_ Rissoids vermetids_ Bittium_ Triphora_ Seminella_ and Williamia. Pelecypods include arcids_ mytilids_ Chama_ venerids_ and tellens. Brackish water ostracodes (Cyprideis) 137-208 ft. Two species endodontid land snails_ 137-165 ft. Abundant brackish-water oysters_ 141 ft. Large Turbo and Trochus_ 141-152 ft.  land snail shells at 116 to 130 feet; Pisulina sp. at 115-180 feet | depth -2.74--173.13 m | ocean island volcano | Midway Atoll | Sand Island hole | Sand Island on Midway Atoll | One of two cores drilled on Midway in summer 1965 | Midway Deep Core - 1965 | geologic history of the Hawaiian chain,mat:biogenicnonorganicmaterial
37,IEMRS004P,IEMRS | ZCP2-B (parts A&B) | | Biology>Macrobiology | shell bed at interzone. Bag 1. +35.5. A/E Ostrea. B_C_D Donax. G - Ostrea. 13.2.15 --> MS. Artie. 39. Coordinates 31deg35'15.91'S 18deg7'11.27'E. shore platform ith boulders  | and cobbles on it grading upwards into cemented beach pebbles (encrusted by marine organisms). on top of cemented pebbles there are subtidal sands grading into horizontally  | laminated intertidal. above it small beach pebbles (deposited by storms on beach?) and bed of oysters_ probablly deposted by storms as observed in modern beach. tide gague is  | Lamberts bay_ daily tides around +1.7 to -0.2acd. paleo intertidal zone is located between cemented beach pebbles (shallow subtidal_ cementation occurred possibly independentaly  | from SL?) and first supratidal pebbles: 33.6972+-0.269. SL is constrained very well by measured point_ with conservative uncertainty of +-0.3m. tide range must be added | agenumeric: 4.28-4.87 Ma | outcrop | Olifants River | Â± 0.3 m | Cliff Point | Transition between a subtidal (Upper shoreface) to intertidal facies | Ostrea sp. | SR/AAR. Sr 12/12,mat:biogenicnonorganicmaterial
204,IEMRS0049,IEMRS | ZDG4a | | Biology>Macrobiology | bag 2. coordinates: 31deg48'2.5'S 18deg13'52.09'E. wide modern shore platform backed by vertical cliff. it is possible to recognize paleo shore platform with bouldes on top  | of it_ grading upwards into layers of Shells. on top of it Donax have been sampled within terrigenous environment (thermite mounds). paleo shore platform is 13.9642+-0.428m  | while top of shell bed (excluding Donax layer on thermite mounds) is at 18.7287+-0.269m. paleo SL must be near base of platform as in modern situation (low tide the platform  | is exposed while high tide it is semisubmerged). daily tides around +1.7 to -.2acd. | agenumeric: 0.88-1.18 Ma | outcrop | Olifants River | Â± 0.4 m | Donkergat | Shore Platform (marine abrasion platform of older bedrock) | Shells - undifferentiated | Sr/AAR,mat:biogenicnonorganicmaterial
208,IEMRS004E,IEMRS | ZDG4a-E | | Biology>Macrobiology | bag 2. coordinates: 31deg48'2.5'S 18deg13'52.09'E. wide modern shore platform backed by vertical cliff. it is possible to recognize paleo shore platform with bouldes on top  | of it_ grading upwards into layers of Shells. on top of it Donax have been sampled within terrigenous environment (thermite mounds). paleo shore platform is 13.9642+-0.428m  | while top of shell bed (excluding Donax layer on thermite mounds) is at 18.7287+-0.269m. paleo SL must be near base of platform as in modern situation (low tide the platform  | is exposed while high tide it is semisubmerged). daily tides around +1.7 to -.2acd. | agenumeric: 0.88-1.18 Ma | outcrop | Olifants River | Â± 0.4 m | Donkergat | Shore Platform (marine abrasion platform of older bedrock) | Gastropod - unknown | Sr/AAR,mat:biogenicnonorganicmaterial
217,IEMRS004B,IEMRS | ZDG4a-B | | Biology>Macrobiology | bag 2. coordinates: 31deg48'2.5'S 18deg13'52.09'E. wide modern shore platform backed by vertical cliff. it is possible to recognize paleo shore platform with bouldes on top  | of it_ grading upwards into layers of Shells. on top of it Donax have been sampled within terrigenous environment (thermite mounds). paleo shore platform is 13.9642+-0.428m  | while top of shell bed (excluding Donax layer on thermite mounds) is at 18.7287+-0.269m. paleo SL must be near base of platform as in modern situation (low tide the platform  | is exposed while high tide it is semisubmerged). daily tides around +1.7 to -.2acd. | agenumeric: 0.88-1.18 Ma | outcrop | Olifants River | Â± 0.4 m | Donkergat | Shore Platform (marine abrasion platform of older bedrock) | Mytilus sp. | Sr/AAR,mat:biogenicnonorganicmaterial
247,IEEVB00KW,IEEVB | TestSample123 | | 25 | mm diameter round | Up to 2000 characters of description. | A test sample comment. | depth 1.9-2 Unit in which the depth is provided_ e.g._ MBSF | agenumeric: 10.22-10.3 Ma | geologicage: 10 Million years | Type of phyiscal feature that your sample was collected from. | Name of the primary_location_type that you entered | Additional information about the specific place where your sample was collected | Name of the specific place where your sample was collected. This could be the  name of a mine_ a volcanic field_ a vent field_ or similar | Additional information about the specific place where your sample was collected | VNTR02WT | platform: Type of platform for the cruise._ Name of platform for the cruise. | Description of the platform for the cruise.,xxx
348,IEGPL000B,IEGPL | GR-11 | Liquid | | collection: Manual. Water collected â‰ˆ2 m from the bank of the river and immediately filtered through a pre-combusted (450 Â°C_ 4 h) 0.22 Î¼m quartz fiber filter using an acid pre-leached (1.2 mol Lâˆ’1 HCl_ one week) Nalgeneâ„¢ filtration tower. Filtered water transferred into high-density polyethylene(HDPE) bottles (all acid pre-leached_ 1.2 mol Lâˆ’1 HCl_ one week). The entire setup was rinsed (3Ã—) with filtered river water before bottles were filled for a sample.Â  | 125 ml_ 1 litre | Sampling location is near bank of Ganga River and mostly surrounded by agricultral area with little human settlement |  Lockdown- Ganga River Water Sampling (Prayagraj) | Lockdown sampling | Water quality measurement,mat:liquidwater
433,IEDUT101M,SY-68c | Mechanical Fraction | | collection: Manual. Sampled from parent with hand-drill. | 0.2 | mg | Biology>Macrobiology>Coral | Fossil coral material cut from SY-68 for U-Th dating. See also metadata for: SY-68. | Reference: Dutton_ A._ Webster_ J.M._ Zwartz_ D._ Lambeck_ K._ and Wohlfarth_ B._ 2015_ Tropical tales of polar ice: evidence of Last Interglacial polar ice sheet retreat recorded by fossil reefs of the granitic Seychelles islands: Quaternary Science Reviews_ v. 107_ p. 182-196. | Reef | Site 19A. Elevation is height from top of coral to mean low water springs_ +/- 0.2 m. Coordinates estimated from Google Earth. | Curiesuse Island | North end of old turtle pond wall | Favites | Dutton Seychelles 2009,mat:biogenicnonorganicmaterial
438,IEDUT101O,SY-69a | Mechanical Fraction | | collection: Manual. Sampled from parent with hand-drill. | 0.2 | mg | Biology>Macrobiology>Coral | Fossil coral material cut from SY-69 for U-Th dating. See also metadata for: SY-69. | Reference: Dutton_ A._ Webster_ J.M._ Zwartz_ D._ Lambeck_ K._ and Wohlfarth_ B._ 2015_ Tropical tales of polar ice: evidence of Last Interglacial polar ice sheet retreat recorded by fossil reefs of the granitic Seychelles islands: Quaternary Science Reviews_ v. 107_ p. 182-196. | Reef | Site 19A. Elevation is height from top of coral to mean low water springs_ +/- 0.2 m. Coordinates estimated from Google Earth. | Curiesuse Island | North end of old turtle pond wall | Favia | Dutton Seychelles 2009,mat:biogenicnonorganicmaterial
474,IEMRS005H,IEMRS | ZPPH4a | | Biology>Macrobiology | subtidal. Marine Shells. +9.4m. A. climpets. 13.2.15--> MS. coordinates 33deg0'4.57'S 17deg55'11.74'E. subtidal sands grading eolian sands in few meters. high  | concentration of unbroken Patella Shells_ normally living in midlittoral zone. around big boulder below subtidal sands_ patella Shells are broken_ sign of wave influence.  | nearest tide gauge is Saldanha with daily tides between 1.8 and 0.2m. SL can be constrained between the higheer subtidal 11.4724+-0.508m and base of eolian  | sands 12.9692+-0.365m. | outcrop | Western Cape Province | Â± 0.5 m | Prospect Hill | Subtidal cross beds and boulder with Patella sp. | Shells - undifferentiated | SR/AAR,mat:biogenicnonorganicmaterial
